Palabra;Frecuencia
primero;40853
nuevo;39932
último;28815
mayor;20389
social;18008
público;17908
gran;16693
pasado;16257
mejor;15743
segundo;14658
político;12837
buen;12218
español;11597
alto;10840
posible;10400
grande;10249
nacional;10143
único;10027
importante;9995
sanitario;9661
solo;9565
junto;9512
próximo;9500
económico;9375
menor;9286
europeo;8984
internacional;8641
claro;7957
pequeño;7770
general;7706
principal;7687
necesario;7500
actual;6767
total;6303
electoral;5973
local;5674
igual;5554
real;5407
propio;5401
anterior;5397
tercero;5386
mundial;5256
máximo;5255
seguro;5126
abierto;5032
oficial;5000
estadounidense;4982
positivo;4934
libre;4887
especial;4790
difícil;4776
británico;4768
mismo;4632
bajo;4596
privado;4592
personal;4567
digital;4565
civil;4329
fuerte;4258
cierto;4225
conocido;4207
largo;4096
municipal;4076
siguiente;4014
diferente;3998
judicial;3994
catalán;3950
debido;3945
popular;3942
humano;3929
sexual;3927
duro;3907
militar;3840
llamado;3840
histórico;3783
bueno;3720
pleno;3655
suficiente;3616
autónomo;3592
capaz;3550
fácil;3546
previsto;3522
dicho;3512
central;3470
disponible;3468
laboral;3442
común;3417
antiguo;3372
vasco;3362
superior;3359
legal;3350
joven;3293
valenciano;3287
natural;3245
negro;3192
familiar;3189
médico;3176
semanal;3129
global;3094
blanco;3069
fundamental;3035
ruso;3029
rápido;3006
afectado;3001
cultural;2983
casado;2975
democrático;2952
francés;2943
habitual;2940
regional;2922
directo;2897
diario;2860
activo;2845
normal;2844
relacionado;2837
chino;2807
mínimo;2772
extremo;2768
hecho;2755
completo;2754
similar;2751
físico;2722
socialista;2721
verde;2705
autonómico;2659
realizado;2658
alemán;2615
comercial;2584
profesional;2541
cercano;2536
publicado;2535
reciente;2527
fiscal;2506
cerrado;2502
vacunado;2502
eléctrico;2500
falso;2455
armado;2434
infantil;2434
futuro;2431
previo;2420
viejo;2413
enorme;2412
distinto;2385
policial;2384
final;2347
amplio;2320
rojo;2308
técnico;2304
esencial;2278
responsable;2271
acumulado;2271
presente;2259
famoso;2237
científico;2228
imposible;2216
numeroso;2209
educativo;2206
medio;2186
dirigido;2160
mental;2158
concreto;2116
crítico;2110
supuesto;2109
cuarto;2094
estatal;2094
tercer;2088
interno;2072
urbano;2055
negativo;2025
deportivo;2011
adecuado;2005
informativo;2000
turístico;2000
peligroso;1966
vivo;1958
madrileño;1945
constitucional;1938
presunto;1912
exterior;1907
moderno;1893
verdadero;1888
dispuesto;1883
básico;1880
parlamentario;1880
masivo;1878
efectivo;1873
tradicional;1865
obligatorio;1864
jurídico;1838
buena;1826
detenido;1809
profundo;1806
acompañado;1795
doble;1794
santo;1784
basado;1778
republicano;1771
complicado;1766
feliz;1752
política;1752
perfecto;1746
presidencial;1728
absoluto;1720
tecnológico;1714
acusado;1710
destinado;1705
independiente;1704
rico;1697
serio;1687
maduro;1680
determinado;1674
consciente;1672
occidental;1669
pendiente;1669
original;1668
compartido;1667
financiero;1648
obligado;1647
incluido;1645
demócrata;1640
inmediato;1635
específico;1630
contrario;1628
sostenible;1618
comunitario;1609
rural;1607
citado;1586
conservador;1575
preparado;1572
climático;1570
federal;1550
formado;1544
extraordinario;1542
comunista;1539
inicial;1530
corto;1522
humanitario;1503
registrado;1498
territorial;1479
urgente;1478
firmado;1475
justo;1475
procedente;1463
constante;1458
extranjero;1446
independentista;1441
posterior;1433
situado;1430
interesante;1430
elevado;1423
tranquilo;1422
evidente;1422
penal;1419
simple;1417
sencillo;1415
puro;1409
puesto;1406
asociado;1398
correcto;1397
italiano;1392
marcado;1387
recogido;1385
universitario;1383
electrónico;1375
estratégico;1374
especializado;1374
nuclear;1369
dedicado;1354
temporal;1350
ingresado;1349
complejo;1347
clínico;1347
nocturno;1345
americano;1344
religioso;1343
eficaz;1343
particular;1341
diplomático;1334
correspondiente;1326
mexicano;1326
perdido;1318
clásico;1315
permanente;1313
vinculado;1311
provincial;1308
inteligente;1301
afgano;1300
creado;1294
institucional;1286
probable;1285
intenso;1282
auténtico;1280
parecido;1279
hospitalario;1278
múltiple;1262
establecido;1260
presentado;1260
definitivo;1251
conjunto;1251
unido;1250
israelí;1249
nacido;1247
imprescindible;1246
virtual;1244
escolar;1241
aprobado;1241
farmacéutico;1237
quinto;1233
individual;1228
radical;1227
organizado;1214
primario;1213
anual;1205
industrial;1199
islámico;1199
colectivo;1191
empresarial;1182
aéreo;1179
encargado;1176
vital;1172
querido;1167
emocional;1153
seguido;1152
visto;1147
musical;1144
energético;1143
limitado;1141
celebrado;1141
gallego;1134
raro;1133
herido;1130
triste;1116
ocurrido;1116
interior;1114
ciudadano;1110
vigente;1108
poderoso;1105
continuo;1101
terrorista;1099
moral;1095
relevante;1094
femenino;1090
brutal;1086
andaluz;1085
extraño;1082
escrito;1082
curioso;1077
avanzado;1074
secundario;1068
mediático;1061
listo;1061
inglés;1061
significativo;1060
azul;1057
entero;1047
cubano;1047
liberal;1036
inferior;1036
ambiental;1028
convencido;1022
intelectual;1014
creciente;1014
presencial;1013
aislado;1008
derivado;1007
gratuito;1003
administrativo;998
artificial;996
mortal;993
bonito;992
menudo;992
ganador;979
sánchez;978
perimetral;978
legislativo;976
preciso;971
protegido;967
ajeno;964
oscuro;963
norteamericano;962
feminista;959
venezolano;959
artístico;957
televisivo;956
ejecutivo;952
increíble;949
útil;947
terrible;946
vacunada;937
árabe;933
cuidado;930
desaparecido;929
estrecho;929
confirmado;928
sexto;922
desarrollado;920
sano;913
impuesto;913
relativo;912
recibido;909
intensivo;909
frecuente;906
ideológico;905
existente;905
consecutivo;901
migratorio;900
ubicado;900
psicológico;898
firme;896
adicional;896
reducido;895
barato;888
provocado;887
excepcional;887
vecino;886
controlado;885
palestino;882
escaso;880
ecológico;880
epidemiológico;880
destacado;879
operativo;870
interesado;867
favorable;865
exclusivo;859
considerado;854
potente;851
inmenso;846
universal;844
latino;843
limpio;840
mal;839
prohibido;837
elegido;835
lógico;834
ocupado;831
denominado;829
espectacular;828
móvil;827
preventivo;822
lento;820
implicado;818
africano;816
desconocido;815
comprometido;814
gubernamental;814
leve;813
sentado;812
divertido;810
centrado;810
vacío;808
montero;807
alternativo;800
mediterráneo;800
culpable;799
estable;798
atrapado;798
integrado;798
turco;793
voluntario;790
integral;785
domiciliario;782
orgulloso;778
excelente;774
almeido;774
católico;769
reconocido;769
práctico;766
embarazado;765
condenado;763
consultado;763
moderado;761
progresista;757
thunberg;753
certificado;750
abascal;741
ligero;740
telefónico;735
faraónico;732
loco;729
académico;729
saludable;728
elaborado;728
vestido;726
utilizado;724
rodeado;723
maravilloso;721
inmunizado;721
secreto;717
detectado;716
autorizado;711
dependiente;710
dramático;710
anunciado;708
emitido;707
notable;705
preocupado;704
digno;699
cómodo;699
delta;698
irregular;697
tomado;695
cuadrado;694
creativo;694
liderado;693
sensible;692
asiático;686
medioambiental;686
derecho;683
racista;682
forestal;681
polémico;680
esperado;680
dado;679
breve;679
diseñado;677
protagonizado;675
diverso;670
caro;668
automático;667
visible;666
hospitalizado;666
producido;664
cotidiano;662
alejado;661
pacífico;661
inesperado;656
estricto;655
compuesto;653
ambicioso;653
extra;649
fiel;648
norte;647
provisional;647
asistencial;647
ideal;646
adulto;645
prioritario;644
íntimo;644
masculino;641
premiado;641
débil;636
contundente;636
impulsado;636
acostumbrado;635
asesinado;634
lamentable;633
valiente;631
delicado;631
cometido;629
causado;625
sospechoso;625
viral;625
brasileño;624
irresponsable;622
informático;622
expuesto;620
colombiano;619
juvenil;619
fronterizo;618
milagroso;617
saudí;617
adoptado;615
doméstico;613
fijo;610
brillante;606
razonable;605
obviamente;604
sólido;602
declarado;601
mero;600
contemporáneo;600
diagnóstico;599
audiovisual;599
salvaje;597
confinado;594
alimentario;594
típico;593
absurdo;592
válido;590
favorito;588
docente;587
orgánico;586
telemático;585
solitario;582
infectado;580
tim;580
canario;580
contento;579
paralelo;577
pensado;577
documental;577
estructural;576
generado;576
izquierdo;575
marroquí;574
pesado;571
sucedido;571
generalizado;570
polaco;570
ligado;570
permitido;570
externo;569
identificado;568
mancho;567
amarillo;566
severo;566
nacionalista;565
vergonzoso;565
insuficiente;565
vengativo;560
atractivo;560
mencionado;558
inocente;557
crónico;556
material;556
robl;555
caliente;554
parcial;554
trasero;554
interterritorial;553
inevitable;552
legítimo;550
convertido;546
argentino;545
sometido;544
excesivo;544
productivo;543
fijado;543
festivo;542
exitoso;541
bancario;541
sorprendente;537
marrueco;535
titulado;534
experto;531
forzado;531
mayoritario;531
inminente;531
abandonado;530
muchísimo;528
restrictivo;528
oculto;528
solar;528
coordinado;528
marino;527
crucial;527
dominante;526
frío;523
objetivo;522
aragonés;520
convencional;519
construido;518
usuario;518
obvio;516
dividido;516
ético;513
respectivo;512
japonés;511
mensual;509
cubierto;509
visual;507
pagado;505
formal;505
agresivo;504
metropolitano;503
corrupto;500
compatible;500
marítimo;500
fresco;497
decisivo;496
doloroso;496
cargado;495
tremendo;493
adverso;493
sentimental;493
partidario;490
exiliado;489
indígena;489
populista;488
eficiente;488
renovable;488
instalado;487
difundido;487
potencial;487
bilateral;486
genético;486
ultra;485
añadido;485
espacial;481
complementario;481
llegado;480
fallido;479
separado;477
penitenciario;476
conectado;476
nervioso;475
optimista;474
larga;472
vendido;470
solidario;470
seco;469
eterno;468
sudáfrico;467
literario;466
decidido;465
olímpico;465
residente;465
enviado;464
convocado;464
genial;463
miserable;462
encerrado;462
autoritario;459
puntual;458
jurado;458
grabado;455
simbólico;455
holandés;450
tecnologío;450
previsible;449
judío;449
transparente;448
primitivo;448
valorado;448
adolescente;447
biológico;447
químico;446
ordinario;444
cerebral;443
millonario;441
perteneciente;441
lejano;441
geográfico;441
gordo;440
iraní;439
involucrado;438
revolucionario;438
inclusivo;437
obtenido;436
sonoro;435
sindical;435
amenazado;435
suspendido;434
demográfico;434
nazi;433
atento;432
progresivo;432
romano;431
roto;429
representado;429
sagrado;428
trabajador;427
respiratorio;426
votado;425
catastrófico;425
acordado;425
inspirado;425
musulmán;424
oportuno;421
cansado;421
llamativo;420
emblemático;420
gastronómico;419
bello;418
adaptado;418
programado;417
competitivo;416
iniciado;415
impresionante;414
politico;412
interino;412
asturiano;412
usado;411
contagiós;409
oriental;409
referente;408
islamista;408
informado;407
cristiano;407
griego;407
quirúrgico;406
capital;406
elegante;406
apoyado;406
competente;405
foral;404
mítico;402
amable;402
portugués;402
restante;401
actualizado;401
afgán;400
desesperado;399
letal;398
facilitado;398
detecto;396
fantástico;396
alcanzado;396
justificado;395
mágico;395
fino;395
nulo;394
vivido;394
temprano;394
feo;393
magnífico;393
prestigioso;393
respetuoso;392
ibérico;391
meteorológico;391
repartido;391
romántico;390
invisible;389
inédito;389
dotado;389
hermoso;388
agrícola;387
aplicado;386
suave;386
delegado;386
negacionista;385
balear;385
continuado;385
reservado;384
mónico;383
residencial;383
vial;382
mixto;381
opositor;380
presidido;380
ridículo;379
pfizer;379
racial;379
gráfico;379
logístico;379
bolsonaro;378
mecánico;378
extenso;377
anónimo;377
fabricado;375
satisfecho;375
desnudo;373
leal;373
infinito;371
fundado;370
franquista;368
concertado;368
disney+;368
encabezado;367
realista;367
premio;367
imagino;366
funcional;366
vacunal;366
fascista;365
cinematográfico;365
sucio;364
sujeto;364
harto;363
innecesario;363
dorado;363
latinoamericano;362
transgénero;362
creíble;361
contagiado;361
coherente;360
poblado;360
encantado;358
rubio;358
fiable;357
investigado;357
equivocado;356
rocío;355
cruel;355
inmobiliario;354
mentiroso;354
fatal;354
arrimada;354
décimo;354
inaceptable;353
considerable;353
singular;353
totalitario;352
dominicano;352
distribuido;352
lanzado;351
controvertido;351
callejero;350
sudafricano;350
riojano;350
sucesivo;349
materno;349
facial;349
veterano;348
animado;348
dulce;348
gris;348
persistente;347
precioso;345
indio;345
agradable;345
planteado;345
escondido;344
nefasto;344
publicitario;344
adjunto;344
sociosanitario;344
incómodo;343
injusto;342
mediano;342
séptimo;342
editorial;341
formativo;341
semejante;340
guapo;340
inmerso;340
ferroviario;340
retirado;339
notifico;339
natal;339
propuesto;339
cómico;337
humilde;336
disparado;335
opuesto;335
frágil;334
recomendable;334
mutuo;334
misterioso;332
cívico;332
sense;330
ofrecido;330
estético;329
periodístico;329
habilitado;329
repetido;327
peruano;326
deseado;326
generoso;325
privilegiado;325
lavado;324
emotivo;323
drástico;323
accesible;323
presupuestario;322
sistemático;321
anticipado;320
normativo;320
explícito;320
indispensable;319
afgana;319
bienvenido;318
administrado;318
aguado;318
conveniente;318
determinante;317
exacto;316
electo;316
financiado;315
peor;7511
fallecido;5702
malo;5555
ilegal;3663
lleno;2337
vulnerable;2006
defensivo;1582
criminal;1551
violento;1545
inútil;1171
azulgrana;1062
preocupante;1010
desplegado;989
mala;910
díaz;907
parado;865
salarial;803
arqueológico;790
neto;755
urbanístico;747
agrario;727
cautelar;720
remitido;715
contratado;714
directivo;691
hotelero;671
peninsular;669
ofensivo;644
espada;643
sevillano;641
imputado;637
inés;635
terrestre;624
concedido;623
animal;622
tejido;607
monasterio;604
vecinal;599
horario;597
patrimonial;593
navideño;587
portuario;580
serrano;579
cortado;577
unilateral;576
regulado;572
octavo;572
perjudicado;564
pactado;560
belga;552
titular;546
aportado;532
lingüístico;528
malagueño;525
dictado;522
exigente;521
regular;520
superado;514
tributario;514
oral;512
solicitado;509
franco;504
riojo;502
escénico;501
jubilado;497
eólico;497
murciano;493
acreditado;490
sanchez;489
ilícito;488
teatral;487
procesado;485
gobernado;484
récord;482
ajustado;478
agradecido;478
valioso;476
flamenco;475
variable;475
discreto;474
asegurado;474
garantizado;474
sueco;471
prudente;470
decretado;470
primo;469
adquirido;469
probado;468
trágico;465
bruto;463
aprobada;462
emergente;460
publico;459
poquito;458
estimado;458
director;458
viable;457
definido;455
orientado;455
localizado;454
señalado;453
ordenado;452
peatonal;450
acertado;448
variado;446
metálico;446
separatista;446
cruzado;446
puigdemont;444
interanual;444
preguntado;444
táctico;444
exhaustivo;443
barcelonés;441
arrestado;440
concentrado;438
reiterado;437
matemático;437
